iter	Passed	Remaining
654	14301	422383
655	14324	422401
656	14346	422375
657	14369	422385
658	14389	422326
659	14409	422249
660	14431	422235
661	14454	422250
662	14476	422216
663	14497	422184
664	14519	422168
665	14541	422151
666	14562	422108
667	14585	422114
668	14608	422113
669	14631	422134
670	14654	422142
671	14676	422126
672	14699	422142
673	14722	422138
674	14743	422097
675	14765	422081
676	14787	422060
677	14809	422039
678	14834	422113
679	14860	422208
680	14884	422260
681	14911	422380
682	14937	422468
683	14957	422386
684	14981	422431
685	15001	422362
686	15021	422285
687	15041	422219
688	15063	422188
689	15085	422175
690	15107	422160
691	15129	422128
692	15151	422114
693	15171	422060
694	15192	422014
695	15213	421949
696	15235	421926
697	15254	421836
698	15276	421823
699	15296	421756
700	15318	421719
701	15338	421659
702	15359	421600
703	15380	421562
704	15401	421530
705	15425	421557
706	15446	421503
707	15467	421458
708	15488	421426
709	15509	421385
710	15531	421370
711	15554	421365
712	15576	421356
713	15598	421326
714	15621	421335
715	15644	421358
716	15665	421315
717	15687	421290
718	15708	421245
719	15731	421251
720	15754	421257
721	15778	421288
722	15802	421328
723	15828	421430
724	15853	421483
725	15880	421588
726	15903	421604
727	15925	421600
728	15951	421669
729	15972	421634
730	15994	421610
731	16015	421572
732	16035	421504
733	16057	421469
734	16079	421467
735	16100	421414
736	16120	421332
737	16141	421305
738	16162	421256
739	16184	421242
740	16204	421172
741	16224	421098
742	16245	421059
743	16268	421058
744	16289	421012
745	16310	420973
746	16332	420937
747	16354	420919
748	16373	420841
749	16394	420786
750	16415	420746
751	16436	420705
752	16457	420669
753	16478	420613
754	16498	420560
755	16519	420500
756	16539	420444
757	16561	420427
758	16583	420402
759	16607	420438
760	16629	420412
761	16655	420489
762	16677	420478
763	16698	420425
764	16719	420391
765	16740	420337
766	16760	420290
767	16782	420263
768	16802	420195
769	16825	420208
770	16845	420140
771	16866	420096
772	16888	420063
773	16910	420053
774	16933	420049
775	16953	419988
776	16974	419944
777	16996	419927
778	17016	419876
779	17037	419815
780	17058	419779
781	17079	419736
782	17101	419708
783	17122	419674
784	17144	419659
785	17165	419616
786	17188	419620
787	17208	419547
788	17229	419511
789	17248	419429
790	17269	419376
791	17289	419320
792	17311	419306
793	17332	419264
794	17353	419211
795	17374	419177
796	17393	419088
797	17416	419095
798	17437	419052
799	17459	419030
800	17482	419040
801	17502	418963
802	17522	418896
803	17541	418823
804	17563	418803
805	17584	418745
806	17605	418713
807	17626	418673
808	17647	418639
809	17667	418570
810	17688	418521
811	17708	418463
812	17730	418439
813	17751	418398
814	17771	418347
815	17791	418277
816	17815	418304
817	17839	418323
818	17862	418339
819	17883	418307
820	17904	418267
821	17928	418296
822	17949	418238
823	17970	418206
824	17992	418192
825	18014	418161
826	18036	418149
827	18057	418111
828	18079	418103
829	18102	418091
830	18123	418051
831	18143	418009
832	18163	417930
833	18183	417874
834	18203	417799
835	18224	417765
836	18245	417736
837	18266	417682
838	18288	417668
839	18308	417600
840	18328	417536
841	18349	417497
842	18369	417438
843	18391	417419
844	18412	417377
845	18432	417324
846	18454	417304
847	18474	417252
848	18497	417248
849	18516	417172
850	18541	417207
851	18561	417154
852	18583	417137
853	18605	417120
854	18627	417094
855	18648	417062
856	18669	417015
857	18688	416948
858	18709	416901
859	18731	416876
860	18751	416829
861	18773	416795
862	18793	416752
863	18815	416727
864	18835	416672
865	18856	416635
866	18880	416664
867	18903	416664
868	18923	416593
869	18943	416545
870	18963	416483
871	18986	416478
872	19006	416428
873	19027	416379
874	19048	416349
875	19070	416324
876	19092	416308
877	19113	416279
878	19136	416277
879	19157	416232
880	19179	416214
881	19200	416188
882	19225	416223
883	19246	416201
884	19268	416171
885	19289	416146
886	19313	416161
887	19335	416150
888	19355	416085
889	19376	416053
890	19399	416049
891	19419	415994
892	19441	415971
893	19461	415920
894	19482	415886
895	19505	415880
896	19526	415854
897	19548	415828
898	19569	415785
899	19590	415756
900	19610	415704
901	19631	415653
902	19652	415624
903	19672	415552
904	19694	415538
905	19715	415505
906	19735	415452
907	19757	415425
908	19785	415546
909	19807	415531
910	19831	415545
911	19853	415522
912	19875	415510
913	19895	415459
914	19917	415434
915	19940	415434
916	19960	415387
917	19983	415396
918	20004	415344
919	20025	415321
920	20047	415299
921	20068	415264
922	20089	415215
923	20110	415186
924	20132	415173
925	20153	415119
926	20173	415078
927	20195	415051
928	20215	414991
929	20236	414962
930	20256	414905
931	20278	414890
932	20299	414843
933	20319	414791
934	20340	414743
935	20360	414694
936	20383	414686
937	20401	414597
938	20423	414575
939	20446	414588
940	20467	414545
941	20489	414528
942	20510	414491
943	20532	414487
944	20554	414452
945	20574	414408
946	20596	414381
947	20616	414335
948	20638	414307
949	20657	414232
950	20679	414216
951	20701	414204
952	20723	414196
953	20745	414172
954	20766	414131
955	20788	414125
956	20809	414073
957	20830	414039
958	20851	414001
959	20874	414005
